SÕNA,NÄIDE,SARNASED,TASE
mobiliseerima,"Tarvis on mobiliseerida kogu oma energia võitluseks, võitlusele keskkonna saastamise vastu","stabiliseerima, sümboliseerima, motiveerima, moderniseerima, stabiliseeruma",B2
molekul,Molekul koosneb aatomeist,"moodul, moslem, olemus, oletus, olevik",B2
monopol,"Kartellid, sündikaadid, trustid, kontsernid ja konsortsiumid on monopoli põhivormid","nool, moodul, mootor, noorelt, onupoeg",B2
monstrum,Vana aurukatel - raudne monstrum minevikust,"monteerima, moodustuma, müsteerium, osutuma, monument",B2
moodustama,Kõrkjad ja pilliroog moodustavad läbitungimatu tihniku,"moodustuma, soodustama, moonutama, mustama, soojustama",B1
moodustis,Kristallid on korrapärase ehitusega moodustised,"soodustus, moodustuma, mustikas, mustus, soodus",B2
moonduma,Mõned laibad olid plahvatusest tumatuseni moondunud,"moonutama, seonduma, murduma, mööduma, soodustama",C1
moraal,Siit moraal: ära õpeta nii palju,"moraalne, portaal, moraalselt, mürama, normaalne",B2
motiiv,Sümfoonias korduv rahvaviisi motiiv,"oliiv, objektiiv, positiivne, ometigi, moto",B2
muhelema,"Mõned muhelesid, mõned naersid laginal","nuhtlema, suhtlema, munema, muretsema, uhkeldama",C1
muide,"Muide, kas Jaan on abielus või poissmees","muie, muidu, munder, muidugi, muistne",B2
muidu,Ta on muidu täitsa sõbralik,"muidugi, murdu, muu, udu, muie",B1
muigama,See mõte ajas muigama,"uitama, mustama, upitama, muundama, mõjutama",B2
mulje,"Püüab jätta endast head, meeldivat, soodsat, sümpaatset muljet","mull, mullune, mure, muulane, ulme",B1
murdma,Murdsin sokolaaditahvli tükkideks,"murduma, murdu, muundama, määrduma, muretsema",B1
mure,Muredad ning jahused kartulid,"murel, murre, muretu, muru, murelik",A2
murel,"Ostsin, korjasin aiast mureleid","murelik, murre, muretu, muskel, muru",B1
murelik,"Rasked ja murelikud ajad, sõja-aastad","muutlik, repliik, murre, nelik, vaimulik",B1
muru,Murul käimine keelatud,"muu, mõru, puru, mõjur, purju",B1
musitseerima,"Õhtuti musitseerisime oma lõbuks: Jaan mängis klaverit, Helle viiulit ning mina laulsin","tsiteerima, müsteerium, sorteerima, stažeerima, produtseerima",B2
mustand,"Kirja, kirjandi, avalduse, artikli mustand","mustlane, puhtand, vastand, mustikas, omand",B2
mustikas,Mustikas juba õitseb,"muusika, müstika, nutikas, rusikas, sitikas",B1
muundama,Mehaanilist energiat saab muundada elektrienergiaks,"uuendama, suunama, suurendama, omandama, suunduma",C1
muuseum,Turistid käivad palju muuseumides,"muutuma, muutumatu, nuusutama, muusik, muutma",A2
muutma,Sajud muutsid teed põhjatuks,"muutuma, suutma, muutumatu, puutuma, ujutama",A2
mõeldamatu,Pärast tüli tundus leppimine mõeldamatu,"ohjeldamatu, mõistetamatu, põhjendamatu, seletamatu, tembeldama",B2
mõistatus,"Kuidas ta minu käikudest teada sai, see on mulle küll mõistatus","mõistmatus, mõistus, mõistvalt, mõistetamatu, mõistma",B1
mõiste,Ta õppis palju meditsiinilisi mõisteid,"mõte, mõistma, mõistus, mõistlik, mõistetamatu",B2
mõistlik,"Ostaks selle maja ära, kui saaks mõistliku hinnaga","mõtlik, mõistlikkus, õiguslik, optimistlik, pistik",B1
mõistma,"Teise häda mõistab vaid see, kes ise on sellises hädas olnud","mõistmatus, mõnitama, omistama, mõõtma, pistma",B1
mõju,Tal on suur mõju mu karjäärile,"mõjul, mõjur, mõjus, mõjuv, mõjuma",B1
mõjuma,Ta mõjub kuidagi veidrikuna või kohtlasena,"mõjutama, tõrjuma, mõjur, mõjus, mõjuv",A2
mõneti,See naine meenutab mõneti mu ema,"mõni, ometi, õieti, mõnusasti, mõtlik",B2
mõra,"Mõra võib laieneda, süveneda praoks, lõheks","mõrvar, mõru, mõrv, müra, võra",B2
mõru,Mõrusid seeni leotatakse ja kupatatakse,"mõrv, võru, põrgu, õu, tammetõru",B1
mõte,Mõtted valguvad laiali,"mõõt, võte, mõtlema, mõttetu, mõttekas",A1
mõtestama,Lavastaja on teost mõneti uutmoodi mõtestanud,"teostama, tõestama, mälestama, pimestama, sätestama",B2
mõtlema,Tavaliselt mõtleme oma emakeeles,"võitlema, mõõtma, põlema, ütlema, võistlema",A1
mõttekas,Kas on mõttekas selle peale raha kulutada,"mõttetus, mõttekriips, toekas, mõttekäik, mõtteviis",B2
mõõdukalt,Suhkrut pannakse koogi sisse mõõdukalt,"mõõdukas, sõidukaart, mõõk, mõõt, mõõdupuu",B2
mõõk,Tormab mõõka keerutades lahingusse,"mõõn, mõõt, mõõtühik, mõõtma, õhk",B1
mõõt,Ei osanud joomisega mõõtu pidada,"mõõtma, mõõtühik, veemõõtja, ümbermõõt, mõõteriist",B2
mõõtma,Mõõtis kulbiga igaühele ta jao suppi,"võtma, sõitma, tõstma, veemõõtja, võitma",B1
mädanema,Sõrm hakkas mädanema,"odavnema, panema, mängima, märkama, mässama",B2
mälestama,Kalmistupäevadel mälestatakse lahkunud omakseid,"mäletama, mälestussammas, pimestama, sätestama, välistama",B2
mälestus,Kallid lahkunud elavad edasi meie mälestustes,"mälestusmärk, ülestõus, mälestussammas, oletus, märgistus",B1
mäletama,"Tahtsin midagi ütelda, aga ei mäleta enam, mida","oletama, vältama, ületama, nimetama, peletama",A2
mäng,Paar mängu veel ja ongi turniir läbi,"märg, mängija, mängima, mänguasi, vänge",A2
mängima,Lapsed mängivad nukkudega poodi ja kooli,"märkima, mässima, määrima, nälgima, tingima",A1
mänguline,Lavastus oli mänguline,"mässuline, suguline, märguanne, pingeline, tuline",B2
mänguväljak,Jäähoki mänguväljak on poortidega piiratud,"väljak, välja, väljas, väljakutse, väljamakse",B1
märg,Jalad on märjad nii et lirtsub,"märk, määr, pärg, märts, määre",A2
märkama,"Ei märganud, kas korsten suitses või ei","ärkama, märkamatu, märkima, määrama, tärkama",A2
märter,Märtritest said pühakud,"märts, määre, röster, määratlema, väärtpaber",C1
mäss,Talupojad tõstsid mõisnike vastu mässu,"äss, mässama, mässima, mätas, värss",B1
mässama,Klass hakkas kontrolltöö vastu mässama,"mässima, sama, määrama, väisama, täpsustama",B2
mässima,"Ta on end igasugustesse sekeldustesse, ülepea võlgadesse mässinud","pärssima, räsima, väsima, määrima, näksima",C1
määre,Rattarumm on paksu musta määret täis,"äärde, ääres, äär, määrus, äärest",B2
möllama,Hirmunud hobune möllab aiste vahel,"pillama, tallama, omama, üllatama, üllatuma",C1
mööda,Läks korda see hoop mööda juhtida,"möödas, mööduma, möönma, söödav, mööndus",B1
möönma,"Ta möönis, et on vigu teinud","sööma, söötma, ööbima, pöörama, röökima",B2
müristama,Mis te müristate oma mootorratastega,"üritama, omistama, ülistama, rikastama, risustama",B1
mütoloogia,Loengud Idamaade võrdlevast mütoloogiast,"teoloogia, tehnoloogia, psühholoogia, sotsioloogia, terminoloogia",B2
müts,"Seisab alandlikult ukse kõrval, müts peos","müüt, vürts, ütlus, süütus, ühtsus",A2
müüma,"Astume poodi sisse, vaatame, mida siin müüakse","püüdma, üürima, müür, müüt, rüüpama",A1
müür,Nende vahel on vihkamise jäine müür,"üür, müüt, tulemüür, üüratu, üürike",B1
naaber,"Kõrvuti kruntide kaudu saime naabriteks, üleaedseteks, oleme naabrid, piirimehed, üleaedsed","naer, naabrus, paber, rabarber, pinginaaber",A2
naabrus,Kogu naabrus oli asja vaatama tulnud,"naarits, naeratus, naasma, nakkus, nappus",B2
naarits,Naaritsaid kasvatatakse naaritsafarmides,"paaris, nats, naeratus, nartsiss, vaarikas",B2
naasma,"Professor naasis puhkuselt, ekspeditsioonilt","nakkama, napsama, saama, nakatama, nakatuma",B2
naerma,Valju häälega naerma,"narrima, vanaema, nemad, vananema, narkomaan",A1
naine,Naine hoidis maja korras,"paine, unine, onunaine, paikne, punane",A1
nakatama,Hallasääsk nakatab inimesi malaariasse,"nakatuma, pakatama, naljatama, nakkama, vaatama",B2
nakatuma,Ta nakatus kergesti uutest ideedest,"nakkama, paastuma, pakatama, saastuma, taastuma",B2
nali,"Tegi selle nalja ära, et võttis vanas eas veel naise","neli, vali, nelik, nädal, pinal",A1
naljalt,Seda koera naljalt ei püüa,"paljalt, naljatama, palat, parajalt, rumalalt",B2
napp,Teeb lahkudes napi kummarduse,"nappus, naps, nipp, nupp, näpp",B1
nappima,Sissepiiratuil kippus laskemoon nappima,"noppima, näppima, õppima, napsama, narrima",B1
napsama,Napsas mööda minnes puu otsast paar õuna,"näpistama, punastama, sõnastama, vapustama, sama",C1
narrima,"Narri põldu üks kord, põld narrib sind üheksa korda","narritama, norima, närima, nautima, nurruma",B2
neelama,"Nii põnev romaan, et neelasin selle ühe ööga","pelgama, seilama, peegeldama, tembeldama, nelisada",B1
negatiivne,Igal asjal on omad positiivsed ja negatiivsed küljed,"operatiivne, resultatiivne, objektiivne, temaatiline, neljatoaline",A2
neid,Neidude korvpalliturniiri võitsid Poola tüdrukud,"neiu, neli, nõid, reid, nelik",B2
neutraalne,Neutraalne maa peab kallaletungi korral oma neutraliteeti kaitsma,"normaalne, verbaalne, universaalne, reaalne, seksuaalne",B2
nihe,Kellaosutid liiguvad vaevumärgatavate nihetena,"tihe, nimel, näide, tihke, unine",B2
nihkuma,Tunni lõpp nihkub lähemale,"nihutama, õhkuma, niikaua, nuhkima, nähtuma",C1
nihutama,Nihutame lauad kokku ja tõstame toolid nurka,"niisutama, pihustama, näitama, õhutama, nutma",B2
nii-öelda,Tahtsime nii-öelda meestevahelist juttu ajada,"niiöelda, niipea, tõtt-öelda, vaieldav, nimel",B2
niigi,"Ma täna hakkasin meelega seal oksi põletama, et saan niigi palju oma kuuskedest","niisiis, nimi, ning, niimoodi, niiviisi",B2
niikaua,"Ma lähen poodi, istu sa niikaua siin","niisama, niiskus, niipalju, niikuinii, niisamuti",B2
niinimetatud,"Leidus niinimetatud asjatundjaid, kes panid tema tehnilised oskused kahtluse alla","nimetus, nimetama, piiramatu, tingimata, triikimislaud",B2
niipalju,See polnud niipalju kriitiline seisukohavõtt kui ulatuslik annotatsioon,"palju, niipea, paju, paljusus, niisamuti",B2
niipea,Niipea ei maksa teda tülitama minna,"niiöelda, riigipea, niiske, niitma, pea",B2
niisama,Ta lahendas ülesande niisama ära ja läks oma teed,"niisutama, piisama, unistama, niitma, niisamuti",B1
niiske,"Muld olgu kergelt niiske, kuid mitte märg","niiskus, piisk, niisugune, näidis, näiliselt",B1
niisutama,"Niisutab keelega huuli, näppu suus","uisutama, unistama, niitma, nuusutama, näpistama",B2
niitma,Muru niidetakse muruniidukiga,"näitama, viitama, nutma, näima, viima",B2
nimelt,"Ta andis head nõu, ja nimelt seda, et lahkuksime kiirelt","nimetus, nimetama, vaimselt, näiliselt, sisemiselt",B1
nimetama,Mida keegi kordaminekuks nimetab,"pimestama, toimetama, näitama, punetama, riietama",A2
nina,Nina jookseb verd,"ning, sina, tina, nurin, nõnda",A1
nišš,Uusettevõte otsib oma nišši kaubanduses,"uni, nõid, näit, nüri, peni",B2
nobe,Tantsija oli nobe ja graatsiline,"tobe, november, novell, number, objekt",C1
nohu,"Mul on nohu, olen nohus, jäin nohusse, sain nohu","nähtu, ohutu, nooruk, noorus, nähtus",B1
nokitsema,"Haigel pole isu, nokitseb ainult pisut toidu kallal","nokkima, õitsema, põrnitsema, nurisema, näitlema",B2
nokk,Haaras vaskplaadi ühel hetkel oma noka vahele,"šokk, nokkima, plokk, nooruk, nukker",B2
noomima,Vanadel ei maksaks noori igal sammul noomida,"norima, noppima, pookima, roolima, roomama",C1
noor,"Meie jääme vanaks, noor põlvkond kasvab peale","nooruk, noorus, noot, norm, voor",A2
noorelt,Õige noorelt hakkas ta ise leiba teenima,"toorelt, noot, orel, nooruke, noormees",B2
nooruslik,"Noor ta enam pole, aga nooruslik küll","vooruslik, oskuslik, soovituslik, olemuslik, poolik",B2
noot,Ka rõõmupeol võib olla mingi nukker noot,"notar, ootus, poolt, robot, ootama",B2
norima,"Poiss noris, et teda linna kaasa võetaks","närima, norm, noteerima, nördima, torkima",B2
norm,"Kilo vorsti oli norm, rohkem kellelegi ei müüdud","torm, vorm, norra, norskama, notar",A2
number,Ta oskas kirjutada numbreid juba enne kooli minekut,"sihtnumber, umbes, ämber, ümber, palganumber",A1
nupp,Vanaisal oli pärlmutrist nupuga jalutuskepp,"näpp, supp, tupp, trupp, uppuma",B2
nurk,"Jõgi, tee teeb siin järsu nurga","nõrk, purk, tursk, vanur, viisnurk",A1
nõbu,Tal on mitu onu ja mitu tädi ning palju nõbusid,"nõue, nõutu, õu, nõrkus, nõudma",B2
nõges,Seinaäär oli nõgestesse kasvanud,"tõrges, nõks, nõme, nõmedus, nõrgestama",B2
nõid,Muinasjutu kuri nõid muutis kuningatütre kiviks,"nõnda, näide, võidu, õiend, nõudma",B2
nõks,"Tukastus kipub peale, pea teeb nõksu kord ettepoole, kord tahapoole","nõrkus, nõrk, tõuks, nõunik, pronks",B2
nõmm,Hilissuvine kanarbikust ja põdrakanepist lillatav nõmm,"tõmmu, nõudma, ämm, põimima, põimuma",B2
nõrgendama,"Alkohol nõrgendab tervist, organismi","nõrgenema, nõrgestama, tõlgendama, tõendama, õiendama",B2
nõrk,Puul on nõrgad rippuvad oksad,"nõrkus, võrk, nõunik, sõrmik, tõrvik",A1
nõudma,Elufilosoofia nõuab aktiivsust,"sõudma, nõukoda, nõustama, nõustuma, nõutav",A1
nõunik,Ülem-maakohtu koosseisu kuulusid eesistuja ja 12 nõunikku,"rannik, sõnnik, uni, õun, põgenik",B2
nädal,Pühadeni jääb tänasest veel kaks nädalat,"nädalalõpp, nädalapäev, nälg, näol, pindala",A1
nägema,Pime ei näe,"nägemus, nälgima, ägenema, näima, nägemist",A1
nägemus,Hallutsinogeenidest põhjustatud nägemused,"nägus, nägu, vähemus, tingimus, nähtus",B2
nägu,Ta pesi oma nägu,"nägus, nälg, unenägu, nähtu, näägutama",A1
nähtavale,Pimedas taevas ilmuvad nähtavale planeedid ja tähed,"nähtavasti, nähtavus, tavaline, tähtajaline, tavaliselt",B2
nähtavus,Piiratud nähtavusega teelõikudel tuleb aeglasemalt sõita,"nähtus, nähtu, näitus, nähtuma, näts",B2
nähtu,Unes nähtu kipub tegelikkusega segi minema,"nähtus, nähtuma, näitus, näit, näts",C1
näima,Ta näib vanemana kui ta tegelikult on,"närima, näitama, näksima, nälgima, näppima",B1
näitama,"Leivakäär näitab, millise suuna elu võtab","näpistama, näitlema, unistama, venitama, väsitama",A1
nälg,Vanatüdrukul tuli mehelemineku nälg peale,"näol, nälgima, õlg, õng, äge",B2
nälgima,Ta olevat taigas surnuks nälginud,"närima, näppima, pälvima, selgima, säilima",B2
näpistama,"Näpista teda, et ta tukkuma ei jääks","puistama, unistama, pistma, pabistama, paisutama",B2
närima,Mind hakkas kuri kahtlus närima,"pärima, nördima, värvima, väärima, närveerima",B2
närv,Enne hamba plombeerimist suretati närv,"värv, ärev, särav, värav, närviline",B1
närveerima,Muretseb ja närveerib iga asja pärast,"serveerima, renoveerima, raseerima, reserveerima, veerema",B1
näts,Andis teisele paar nätsu vastu nägu,"päts, tants, prints, rätsep, tuntus",B1
nördima,Ebaõiglus paneb nördima,"nördimus, sundima, sündima, praadima, pöörduma",C1
nööp,"ära tulnud, õmble nööp ette","nöör, öö, öökapp, ööpäev, töö",B2
nöör,Pani kelgule uue nööri külge,"pööre, öö, öösärk, töö, vöö",B1
nüüd,"Kui me nüüd kohe minema hakkame, siis jõuame veel õigeks ajaks rongile","nüüdne, süüdi, nüüdisaeg, püüdma, rüü",A1
objektiivne,Puudusin töölt objektiivsetel põhjustel,"subjektiivne, objektiivselt, operatiivne, produktiivne, poeetiline",B2
objektiivselt,Ajakirjanik valgustas sündmusi küllaltki objektiivselt,"subjektiivne, teoreetiliselt, praktiliselt, operatiivne, tehniliselt",B2
oda,Rüütli relvadeks olid mõõk ja oda,"odav, oja, oma, osa, sodima",B2
odav,Ta ostis endale väga odava pesumasina,"orav, osav, odavnema, osavus, sodima",A1
ohkama,Naine ohkas tasa ja pühkis silmi,"oskama, vohama, õhkama, puhkama, torkama",B1
ohtralt,Vesi jões on ohtralt tõusnud,"ohutult, puhtalt, targalt, osalt, teraselt",B2
ohustama,Metskitsi ohustavad nii kiskjad kui karmid talved,"otsustama, pihustama, rahustama, tõhustama, uhkustama",B2
ohutult,Tunneb end metsas täiesti ohutult,"tohutult, ohutus, tohutu, tulutult, vahetult",B2
ohutus,Uute seadmete eeliseks on nende ohutus,"tohutu, rahutus, ootus, otsus, otsustus",B2
ohver,Metsavaimudele viidi ohvriks osa jahisaagist,"ohvitser, sahver, tohter, ohverdama, prohvet",B1
ohverdama,Merejumalale ohverdati soola,"vedama, ähvardama, vingerdama, ühendama, oksendama",B2
ohvitser,Kolonni ees marssisid ohvitserid,"pitser, tohter, otse, sviiter, vise",B2
okaspuu,Kuusk ja mänd on okaspuud,"omakasu, omasugune, toekas, oks, puu",B2
oks,Oksad murduvad tormi käes,"poks, oskus, oksjon, osa, ost",B1
okupatsioon,50 aastat kestnud okupatsioon,"operatsioon, populatsioon, provokatsioon, spekulatsioon, opositsioon",B2
olema,"Olen tööl, reisil, praktikal","olematu, olenema, oletama, osalema, taotlema",A1
olemus,Elu olemus,"oletus, olevus, ülemus, olemuslik, tulemus",B2
olenema,Perekonna käekäik olenes isa teenistusest,"tulenema, olenevalt, poleemika, soojenema, oletama",B1
olu,Tuleb arvestada kohalikke olusid,"onu, osalus, poolus, õlu, olukord",B2
olukord,Rahvusvaheline olukord on praegu pinev,"tookord, omakorda, sisukord, seisukord, rekord",A2
oluline,Eriti oluline on C-vitamiin lastele,"ülioluline, tuline, oluliselt, vastuoluline, osaline",A1
oluliselt,"Ta seisund pole oluliselt muutunud, halvenenud","osaliselt, selliselt, suuliselt, sisuliselt, suvaliselt",B1
olümpia,Hokikoondis sõidab olümpiale,"olümpiaad, olümpiamängud, poleemika, sümpaatia, omapäi",B2
oma,Siin on kõik nii koduselt oma,"omama, omand, ostma, pooma, tomat",B2
omadus,Raku omadus paljuneda,"omandus, osadus, omand, ootamatus, osalus",B2
omapoolne,Isa esitas kohtule omapoolse hagi,"osapool, poole, omavoliline, parempoolne, samasooline",B2
omaselt,Autorile omaselt põimub teoses reaalsus fantastikaga,"osaliselt, raskelt, omavoliliselt, omastama, omavahel",B2
omavaheline,Inimeste omavahelised suhted,"roheline, tavaline, omavoliline, rahvusvaheline, vahele",B1
omavalitsus,Eestis on paarsada omavalitsust,"valitsus, vallavalitsus, osavalt, talitus, turvalisus",B2
ometi,"Ütle ometi, mis sul viga on","ometigi, omlett, rohkesti, toimetus, petis",B1
omistama,Gutenbergile omistatud trükis osutus veidi hilisemasse ajajärku kuuluvaks,"vormistama, pommitama, sosistama, ummistama, osatama",B2
onupoeg,Tal on palju onupoegi,"poeg, vennapoeg, õepoeg, rong, voog",A2
onutütar,Pillel ei ole ühtegi onutütart,"tütar, vennatütar, õetütar, otstarve, tatar",A2
ooper,"Orkester esitas avamängu ooperile ""Ruslan ja Ludmilla""","operett, pere, seebiooper, voor, poolkera",B1
ootama,Rongi tuli kaks tundi oodata,"ootamatu, tootma, ootamatus, sooritama, soovitama",A1
ootamatult,"Lärm lakkas niisama ootamatult, kui oli alanud","ootamatus, tahtmatult, paratamatult, segamatult, teostamatu",B1
ootuspärane,Lavastuse menu on igati ootuspärane,"rootslane, tõepärane, salapärane, sihipärane, säärane",B2
operatiivne,Sõja ajal toimub vägede operatiivne juhtimine varem väljatöötatud kaitseplaanide kohaselt,"praktiline, optiline, operatsioon, primitiivne, peatne",B2
